Month,Type,Rank,Ticker,Return (%)
Nov 2023,Gainer,1,TRENT,29.35
Nov 2023,Gainer,2,BPCL,24.75
Nov 2023,Gainer,3,HEROMOTOCO,23.66
Nov 2023,Gainer,4,EICHERMOT,18.25
Nov 2023,Gainer,5,APOLLOHOSP,14.71
Nov 2023,Loser,1,BAJFINANCE,-4.95
Nov 2023,Loser,2,SBIN,-0.14
Nov 2023,Loser,3,NESTLEIND,0.01
Nov 2023,Loser,4,KOTAKBANK,0.92
Nov 2023,Loser,5,CIPLA,1.02
Dec 2023,Gainer,1,BEL,26.25
Dec 2023,Gainer,2,ADANIPORTS,24.09
Dec 2023,Gainer,3,ADANIENT,20.79
Dec 2023,Gainer,4,HINDALCO,19.24
Dec 2023,Gainer,5,NTPC,19.08
Dec 2023,Loser,1,HDFCLIFE,-6.38
Dec 2023,Loser,2,MARUTI,-2.89
Dec 2023,Loser,3,SBILIFE,-0.18
Dec 2023,Loser,4,DRREDDY,0.17
Dec 2023,Loser,5,BAJAJFINSV,0.73
Jan 2024,Gainer,1,ONGC,23.02
Jan 2024,Gainer,2,SHRIRAMFIN,20.14
Jan 2024,Gainer,3,ADANIPORTS,17.89
Jan 2024,Gainer,4,BHARTIARTL,13.42
Jan 2024,Gainer,5,TATAMOTORS,13.37
Jan 2024,Loser,1,HDFCBANK,-14.43
Jan 2024,Loser,2,ASIANPAINT,-13.07
Jan 2024,Loser,3,HDFCLIFE,-10.84
Jan 2024,Loser,4,EICHERMOT,-7.33
Jan 2024,Loser,5,JSWSTEEL,-7.0
Feb 2024,Gainer,1,TRENT,25.75
Feb 2024,Gainer,2,BPCL,20.2
Feb 2024,Gainer,3,M&M,17.01
Feb 2024,Gainer,4,SBIN,16.8
Feb 2024,Gainer,5,SUNPHARMA,11.24
Feb 2024,Loser,1,HINDALCO,-13.03
Feb 2024,Loser,2,ITC,-7.98
Feb 2024,Loser,3,KOTAKBANK,-7.44
Feb 2024,Loser,4,BAJFINANCE,-5.36
Feb 2024,Loser,5,ASIANPAINT,-4.6
Mar 2024,Gainer,1,BAJAJ-AUTO,15.66
Mar 2024,Gainer,2,MARUTI,11.62
Mar 2024,Gainer,3,BAJFINANCE,11.55
Mar 2024,Gainer,4,HINDALCO,11.19
Mar 2024,Gainer,5,TATASTEEL,10.65
Mar 2024,Loser,1,INFY,-10.51
Mar 2024,Loser,2,TATACONSUM,-7.89
Mar 2024,Loser,3,WIPRO,-7.42
Mar 2024,Loser,4,HCLTECH,-7.23
Mar 2024,Loser,5,HINDUNILVR,-6.13
Apr 2024,Gainer,1,BEL,16.0
Apr 2024,Gainer,2,HINDALCO,15.02
Apr 2024,Gainer,3,EICHERMOT,14.38
Apr 2024,Gainer,4,M&M,12.23
Apr 2024,Gainer,5,TRENT,11.7
Apr 2024,Loser,1,HCLTECH,-11.46
Apr 2024,Loser,2,KOTAKBANK,-9.05
Apr 2024,Loser,3,HDFCLIFE,-7.85
Apr 2024,Loser,4,SUNPHARMA,-7.31
Apr 2024,Loser,5,CIPLA,-6.48
May 2024,Gainer,1,BEL,26.61
May 2024,Gainer,2,M&M,16.23
May 2024,Gainer,3,HEROMOTOCO,12.69
May 2024,Gainer,4,ADANIENT,11.68
May 2024,Gainer,5,ADANIPORTS,8.49
May 2024,Loser,1,TITAN,-9.68
May 2024,Loser,2,TATAMOTORS,-8.42
May 2024,Loser,3,SHRIRAMFIN,-7.75
May 2024,Loser,4,DRREDDY,-6.65
May 2024,Loser,5,ONGC,-6.54
Jun 2024,Gainer,1,SHRIRAMFIN,23.68
Jun 2024,Gainer,2,TRENT,20.19
Jun 2024,Gainer,3,ULTRACEMCO,17.67
Jun 2024,Gainer,4,WIPRO,17.49
Jun 2024,Gainer,5,TECHM,16.44
Jun 2024,Loser,1,ADANIENT,-6.87
Jun 2024,Loser,2,COALINDIA,-3.67
Jun 2024,Loser,3,LT,-3.29
Jun 2024,Loser,4,BPCL,-3.17
Jun 2024,Loser,5,MARUTI,-2.95
Jul 2024,Gainer,1,ONGC,21.88
Jul 2024,Gainer,2,HDFCLIFE,20.24
Jul 2024,Gainer,3,INFY,19.24
Jul 2024,Gainer,4,SBILIFE,17.54
Jul 2024,Gainer,5,TATAMOTORS,16.86
Jul 2024,Loser,1,AXISBANK,-7.84
Jul 2024,Loser,2,TATASTEEL,-4.99
Jul 2024,Loser,3,BAJFINANCE,-4.34
Jul 2024,Loser,4,HDFCBANK,-4.04
Jul 2024,Loser,5,RELIANCE,-3.83
Aug 2024,Gainer,1,TRENT,22.6
Aug 2024,Gainer,2,BAJAJ-AUTO,12.7
Aug 2024,Gainer,3,SHRIRAMFIN,9.3
Aug 2024,Gainer,4,BAJAJFINSV,7.96
Aug 2024,Gainer,5,CIPLA,7.16
Aug 2024,Loser,1,TATASTEEL,-7.6
Aug 2024,Loser,2,SBIN,-6.51
Aug 2024,Loser,3,ADANIPORTS,-5.61
Aug 2024,Loser,4,MARUTI,-5.43
Aug 2024,Loser,5,BEL,-5.3
Sep 2024,Gainer,1,BAJAJ-AUTO,13.35
Sep 2024,Gainer,2,SHRIRAMFIN,11.62
Sep 2024,Gainer,3,BAJAJFINSV,10.68
Sep 2024,Gainer,4,TATASTEEL,10.34
Sep 2024,Gainer,5,M&M,10.32
Sep 2024,Loser,1,TATAMOTORS,-12.3
Sep 2024,Loser,2,ONGC,-10.02
Sep 2024,Loser,3,TCS,-6.26
Sep 2024,Loser,4,BEL,-4.74
Sep 2024,Loser,5,DRREDDY,-3.98
Oct 2024,Gainer,1,SBIN,4.1
Oct 2024,Gainer,2,TECHM,1.99
Oct 2024,Gainer,3,WIPRO,1.91
Oct 2024,Gainer,4,ICICIBANK,1.51
Oct 2024,Gainer,5,HDFCLIFE,0.3
Oct 2024,Loser,1,INDUSINDBK,-27.08
Oct 2024,Loser,2,BAJAJ-AUTO,-20.33
Oct 2024,Loser,3,MARUTI,-16.33
Oct 2024,Loser,4,TATACONSUM,-16.24
Oct 2024,Loser,5,BPCL,-16.0
Nov 2024,Gainer,1,M&M,10.42
Nov 2024,Gainer,2,TECHM,8.63
Nov 2024,Gainer,3,INFY,8.25
Nov 2024,Gainer,4,HCLTECH,7.49
Nov 2024,Gainer,5,TCS,6.96
Nov 2024,Loser,1,ADANIENT,-24.4
Nov 2024,Loser,2,ADANIPORTS,-17.38
Nov 2024,Loser,3,ASIANPAINT,-15.79
Nov 2024,Loser,4,BRITANNIA,-15.34
Nov 2024,Loser,5,NTPC,-10.46
