,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJAUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8737171919227782,0.13652938957997215,0.2910914174009038,0.2977630434311579,0.20136292312605344,0.35657043445251285,0.33584738099599803,0.5212137744451365,0.2818536914098621,0.454582906432079,0.13071574927950286,0.09434323053746937,0.4941653881187685,0.1646122115917775,0.3311947755287462,0.3441463861177324,0.1398297132052793,0.33808618801858487,0.2168839777789345,0.20831693706158083,0.3048462687565705,-0.0007854370811538054,0.39404926293070747,0.3908397615039149,0.11522402179649646,0.24584145521358144,0.40548948229268716,0.24377937108456235,0.4830533742680348,0.30361383315409407,0.31568685943769176,0.11503976917530767,0.5452298970719522,0.48469548452876016,0.4030962887348569,0.4870792808909202,0.28920154534973797,0.5442660859413946,0.4099552463925555,0.1658673966638228,0.20389509541461223,0.32398609939325435,0.42355804337232233,0.11587725139360684,0.14168248300128428,0.28331056054381437,0.1892930203131257,0.3607686727343153,0.22390723726407688
ADANIPORTS,0.8737171919227782,1.0,0.1708037530607487,0.27180194625510273,0.38094517065427336,0.2071633853655772,0.39808573146562426,0.39748942136401266,0.586471719532993,0.318674027810593,0.4962647148557342,0.13402857663188378,0.09258461353969442,0.5470517400705996,0.16180910997038572,0.27145386977533315,0.3575203450608235,0.15518923309316204,0.37608478640136433,0.2475845637717398,0.2047718956652792,0.33896571170604656,0.0024631983613530102,0.44357600688635807,0.4201522149635046,0.15119896281123688,0.27430424659300456,0.4355485503938797,0.3059268300879872,0.5145179328702629,0.32144113544215186,0.30273623938619154,0.08800397527828059,0.6112634578061815,0.5225631680151035,0.5128254841382607,0.5130523695115415,0.28539832586827923,0.5803023640142244,0.4709618959439903,0.21857207656079158,0.22126421161808701,0.34029722022289877,0.4664199838424312,0.1338158214560726,0.15009502633339175,0.29633847075797076,0.20441534907069517,0.4038243679892525,0.24062428928744636
APOLLOHOSP,0.13652938957997215,0.1708037530607487,1.0,0.254748283257161,0.18023339118127008,0.22813812337600384,0.24950618170124425,0.22141219101888596,0.22834045031359818,0.2411417549400751,0.17817937366947809,0.23241765230722325,0.23291755167512518,0.24568021259695555,0.2364712113166883,0.2931349943427169,0.2607111315326166,0.28249168174860284,0.1118685971974934,0.14253322567572033,0.25146301766437545,0.06508632362037137,0.10781153030283737,0.16746782750461298,0.12644729149024078,0.12444901311981584,0.1748973755227446,0.2778153939060918,0.14005236351797784,0.23711068878586672,0.2550120434939011,0.1947012171898599,0.2243972965577692,0.19698744476627764,0.17557586117027635,0.18211370220927722,0.23550420744474773,0.16202941272812746,0.18517681684182744,0.29397137059636147,0.29018522537201596,0.09774375350275707,0.214188626955992,0.2554936838949007,0.10895560388368036,0.17215333600169108,0.25356193224685697,0.09643543286581772,0.27551317239472856,0.2262611065575552
ASIANPAINT,0.2910914174009038,0.27180194625510273,0.254748283257161,1.0,0.12499795461319593,0.1624178821664912,0.24741365163980025,0.29753381957807584,0.1525241705545628,0.14154361083768835,0.212157703158042,0.42554736069179316,0.14494109432286867,0.19240974048761206,0.14862451144498634,0.25408433778519157,0.3409578510887381,0.11345805734774587,0.2625079125794577,0.20492289479754985,0.17612667251837563,0.20976486528236218,0.26952150879066794,0.15548581702699293,0.18232493730214022,0.10166362870334603,0.2743246320241883,0.33106777057477366,0.18063614196319597,0.22146969727693455,0.13517963565084548,0.2593141615248106,0.2820889341967163,0.21875752487544955,0.12664111810131634,0.10781603257996912,0.2936749505235895,0.21878751535401247,0.1054703230431142,0.1996975785636222,0.19658365633614117,0.24305217351615985,0.1038646097462785,0.2857477864599547,0.1645965750221716,0.15972000586080065,0.3065881828239814,0.2148978295674489,0.27720069089023625,0.13782979125927566
AXISBANK,0.2977630434311579,0.38094517065427336,0.18023339118127008,0.12499795461319593,1.0,0.19948004584281664,0.39377655192749583,0.35347090187156516,0.33099194792667497,0.23939226735650682,0.2237527263443973,0.1311149892880892,0.08600329852452226,0.3330824992196238,0.09193623461840011,0.286827041296357,0.36754265298808136,0.10875814030503156,0.42527757449425135,0.25177384130862107,0.17359738533933325,0.22802774169958434,0.009887203477359604,0.6366436593912757,0.33848616912216595,0.08742362405920173,0.2752999665408089,0.3664256149992704,0.29214264209657237,0.3524573673316761,0.23638302638315412,0.26062739770311105,0.10044089545906547,0.3952436296704105,0.3139511002662158,0.29532904555390427,0.42370361684956653,0.18352055135541198,0.5163970053127691,0.44892237331426926,0.14528360729097708,0.14011537813130479,0.2327317432564653,0.37123265927897675,0.09539895325911567,0.1374467934586856,0.1461191953015374,0.2006395270434336,0.3974508281548174,0.20857072154807896
BAJAJAUTO,0.20136292312605344,0.2071633853655772,0.22813812337600384,0.1624178821664912,0.19948004584281664,1.0,0.23744742659209825,0.17555525139795872,0.2396134484489515,0.2692808609568519,0.22044998793839718,0.096095286299132,0.04723163488252667,0.2291354922983769,0.10684270219360238,0.2807177726626808,0.2049871739885796,0.13122937124483927,0.18437496900883416,0.19283517175584788,0.4110517976324255,0.2200769974467752,0.12458958610893145,0.11401985804332165,0.20108224807080727,0.0017343639129347092,0.14168092624776943,0.22629087976959109,0.0830665402777082,0.17772165639156143,0.27824719130076736,0.3420056986220949,0.17872877221832165,0.20707657282889105,0.19071722691697499,0.17449552365225793,0.2477810426516402,0.19198377662443045,0.15864635122706763,0.30443742045355837,0.1581932658986429,0.18625532249909557,0.2969792393934352,0.2843735226362142,0.02140870918257043,0.04363318075346171,0.2011828514740647,0.23329970100081235,0.26743212330641564,0.1072016693059645
BAJAJFINSV,0.35657043445251285,0.39808573146562426,0.24950618170124425,0.24741365163980025,0.39377655192749583,0.23744742659209825,1.0,0.7483002872286039,0.3458197166431509,0.25728201066635936,0.34513843305311065,0.2256073048581107,0.1361950178375732,0.2798557531243741,0.2579029056987742,0.24143421561764122,0.4348952632043598,0.2677171756153733,0.3188307448220598,0.3474529580164099,0.2362386315285722,0.29634929156444995,0.1394687996987161,0.4151448298825265,0.42221217610322453,0.2414962079521156,0.30375160056500605,0.44750663326282025,0.27316284580970956,0.3990798546393722,0.337059655699305,0.32937432818743784,0.27378325779567453,0.3910651657111441,0.30585632359374854,0.3068403601859063,0.40729142829037507,0.4058044456336014,0.41980279611402166,0.46861096001108143,0.21310633796079514,0.30461472700604186,0.2803100981698355,0.4566478251602731,0.23502159332659606,0.20445991334431315,0.32959704899963926,0.2005744518810008,0.4628190639944197,0.3066893281495197
BAJFINANCE,0.33584738099599803,0.39748942136401266,0.22141219101888596,0.29753381957807584,0.35347090187156516,0.17555525139795872,0.7483002872286039,1.0,0.3127910526273542,0.2878334973000274,0.27048565391392687,0.20742652540070763,0.052774666986578705,0.27878162275790636,0.08769385276370219,0.1876214539094519,0.3669944577447902,0.18080973801101877,0.3306798636025277,0.3065447741652261,0.1690395536525965,0.253189520988113,0.12735253290052165,0.3477746250173575,0.406725139244104,0.19592743207621793,0.3038232820397459,0.389564637323549,0.3156277684710503,0.3780110801943511,0.26464781295900186,0.2807601444239903,0.2467826712617933,0.3262535340662574,0.31508378073458765,0.24262990055013656,0.4126890694284017,0.33426192018419043,0.39605888037204545,0.45968801484578886,0.13432823880749656,0.23579911313149352,0.21163621110859668,0.3809636029653894,0.17334760107688224,0.1716144842229768,0.2687125508808429,0.22410880220255772,0.43235084319637923,0.2368754834711625
BEL,0.5212137744451365,0.586471719532993,0.22834045031359818,0.1525241705545628,0.33099194792667497,0.2396134484489515,0.3458197166431509,0.3127910526273542,1.0,0.3151234092026912,0.5084698823736122,0.07452083656560911,0.08546368707977686,0.6214185532226022,0.13312003167774822,0.28822581920301776,0.34103197562652965,0.22922090764219183,0.3320989786403947,0.2519907189399039,0.09356398986021068,0.37802186788823877,-0.05789617342981739,0.3173893848062511,0.3038774461936188,0.1684041336716484,0.2310330015721371,0.4602978846568793,0.2662845245442227,0.5915421150697238,0.37445540382809056,0.22524910487783556,0.06557462607981969,0.6097046122200318,0.5732672291194653,0.5476731718314335,0.4924253972873434,0.2114931360384359,0.5815663425090848,0.477589070307268,0.17054887119265244,0.1769102949535135,0.3689665236483394,0.5202134042198181,0.12363397541693955,0.22639923852943375,0.16710248772806313,0.2713654365654335,0.43821742878844067,0.2592043709644269
BHARTIARTL,0.2818536914098621,0.318674027810593,0.2411417549400751,0.14154361083768835,0.23939226735650682,0.2692808609568519,0.25728201066635936,0.2878334973000274,0.3151234092026912,1.0,0.26979896981790064,0.12252100688681583,0.123381931661051,0.27027122839135925,0.179720796303947,0.29938226927266537,0.3010476271780076,0.26437073790315985,0.21307622514790428,0.21584282133635527,0.19012748523395206,0.2970076553032309,0.1579413136016775,0.37050692047419265,0.22614722270794663,0.29240567059090283,0.26116948904685366,0.3669042121051965,0.3182019514939858,0.3251327637844607,0.29868302163336,0.3479629453867465,0.10612800362560555,0.36976204360856957,0.3484187826697023,0.31650110205919063,0.36615569905900947,0.24325612567205004,0.29346291919290074,0.3638181858868524,0.2796434932617353,0.24952257898711014,0.27181889587143493,0.3058840468349767,0.19614349781541066,0.2767366251600552,0.2757240403353606,0.2580397056155346,0.35774853552633207,0.2630179981976706
BPCL,0.454582906432079,0.4962647148557342,0.17817937366947809,0.212157703158042,0.2237527263443973,0.22044998793839718,0.34513843305311065,0.27048565391392687,0.5084698823736122,0.26979896981790064,1.0,0.021408381706400505,0.06795154218593735,0.603687960782879,0.1809460446352455,0.24995348990817842,0.3507413722231332,0.14358667530300345,0.23586454610747165,0.17999575903372456,0.23287673581330107,0.3488915959179947,-0.0013455567186905003,0.23049699414034366,0.353179896576939,0.1296515577409691,0.18247511357898602,0.3680896251275584,0.1559725125544335,0.46955369447990647,0.28490040610011114,0.2892345363196385,0.05953896204949188,0.5923868687407275,0.5961686321897901,0.5337383762707056,0.48132688301162674,0.2414217650881351,0.5269121641846235,0.38844783885999834,0.2106608260331493,0.15738592789838582,0.41710212177799905,0.4631843361325203,0.1775841421405446,0.20492264594758852,0.2752018179248584,0.2192623250870196,0.4040226517181037,0.21482429467012926
BRITANNIA,0.13071574927950286,0.13402857663188378,0.23241765230722325,0.42554736069179316,0.1311149892880892,0.096095286299132,0.2256073048581107,0.20742652540070763,0.07452083656560911,0.12252100688681583,0.021408381706400505,1.0,0.15042511726236646,0.07788922479154882,0.18676236180928854,0.1070107848450484,0.2191429623734972,0.11854734865757638,0.07046858273863667,-0.00023998641403233606,0.18557447679250594,0.10474410999942187,0.46823958294109097,0.04772014994026091,0.1170023358780797,0.10755627005749901,0.3766414314551153,0.19602100454916746,0.22551006904570348,0.09310806353655099,0.12780383642809817,0.1742688545029888,0.4637692954243124,0.08007966497690082,0.03968350098823473,-0.025038530476222405,0.1378518849263281,0.08898815875420144,-0.0003872367204309797,0.11713970395035206,0.1888742870152215,0.4052466583699809,0.10968247396093261,0.11919579016863441,0.11831552293899132,0.13058033745812314,0.07330454464314591,0.03650442112689373,0.18260208240366155,0.16987921440741305
CIPLA,0.09434323053746937,0.09258461353969442,0.23291755167512518,0.14494109432286867,0.08600329852452226,0.04723163488252667,0.1361950178375732,0.052774666986578705,0.08546368707977686,0.123381931661051,0.06795154218593735,0.15042511726236646,1.0,0.08874197011404959,0.4128489933133824,0.08447427970305468,0.16949979319807612,0.05759439700131667,-0.03078795557222618,0.08774534210994321,0.15086447801922293,0.09945551524103947,0.04213051271242903,0.0841397883559671,0.04471285232474683,0.06523920493930695,0.1284368319468021,0.1630411689645372,0.03656301069211784,0.15964142518473,0.1771781503951427,0.08000576890374998,0.11626609316200583,0.09459255295371205,0.0351853398151579,0.13227618607768415,0.05914002344302207,0.13079556921791954,0.029927614708310724,0.09985628675910097,0.4164129922658809,0.07400574651780593,0.07049792801680287,0.1318486058735195,0.08054451683723321,0.05459134924902738,0.10788690975938704,0.1405974051141937,0.13542382743978298,0.08964550886132383
COALINDIA,0.4941653881187685,0.5470517400705996,0.24568021259695555,0.19240974048761206,0.3330824992196238,0.2291354922983769,0.2798557531243741,0.27878162275790636,0.6214185532226022,0.27027122839135925,0.603687960782879,0.07788922479154882,0.08874197011404959,1.0,0.18053503272663607,0.29745867254579683,0.2833868788117034,0.19068236714826406,0.2704743668928814,0.2119141371016612,0.2542312114624896,0.38931741720646934,-0.037975643352650426,0.250929745772216,0.3410444845899389,0.11982667290715752,0.24483358954177295,0.4411757734285064,0.22908173060072004,0.4895365312901755,0.29325273765081955,0.28063030199892547,0.08390180266240392,0.6188590287574575,0.6484810408713148,0.5355601775388457,0.5072666112018933,0.254756073465226,0.5171833748203013,0.4277651968379507,0.18123919834343377,0.21379261595118185,0.407464608699476,0.535712598076605,0.09704122688913684,0.18063825846722067,0.23858059074503885,0.2585419374920153,0.3231769139280754,0.23784220100987907
DRREDDY,0.1646122115917775,0.16180910997038572,0.2364712113166883,0.14862451144498634,0.09193623461840011,0.10684270219360238,0.2579029056987742,0.08769385276370219,0.13312003167774822,0.179720796303947,0.1809460446352455,0.18676236180928854,0.4128489933133824,0.18053503272663607,1.0,0.13942391369539,0.25358086129046237,0.23094551075843744,0.1401187606458251,0.12304809845885764,0.1425468825619292,0.2084530322041943,0.1633615807563005,0.03631502670813011,0.0854840943531029,0.24356252890696514,0.18643182861531388,0.2450628894755777,-0.04966217466344181,0.12576927998051515,0.22892376797998673,0.1387628274447851,0.21808939076196915,0.21026268293585237,0.1817421969414972,0.19189624225193355,0.1607427295357927,0.20523198201771076,0.1392358487958162,0.14234384595139493,0.39712841093881024,0.11109299659787888,0.20093165016833214,0.20765736974677515,0.22399529982711766,0.22111671528099822,0.14022134889016816,0.17073097547635213,0.2525623881762377,0.2807381584773242
EICHERMOT,0.3311947755287462,0.27145386977533315,0.2931349943427169,0.25408433778519157,0.286827041296357,0.2807177726626808,0.24143421561764122,0.1876214539094519,0.28822581920301776,0.29938226927266537,0.24995348990817842,0.1070107848450484,0.08447427970305468,0.29745867254579683,0.13942391369539,1.0,0.3812565176327042,0.18200619868267595,0.28776377104599554,0.2368001867056483,0.27384028289895584,0.27851274631237355,0.11990517161160935,0.3541268737017314,0.26425380772164947,0.13585228353543854,0.26349269481216486,0.33097105643370534,0.24034419837672338,0.3383583967863879,0.3594474364110415,0.38880158838539725,0.13349123293973372,0.2738939899423361,0.2421570603559234,0.21889788668636306,0.33664427464345764,0.3129240301671582,0.31682746860947425,0.36789149593623893,0.18076378094611648,0.17335905257930345,0.31836233941617337,0.3151584969903783,0.14606329583345748,0.1929726484465902,0.26832971798414973,0.24102867869422695,0.30704823975722406,0.26496795157751096
GRASIM,0.3441463861177324,0.3575203450608235,0.2607111315326166,0.3409578510887381,0.36754265298808136,0.2049871739885796,0.4348952632043598,0.3669944577447902,0.34103197562652965,0.3010476271780076,0.3507413722231332,0.2191429623734972,0.16949979319807612,0.2833868788117034,0.25358086129046237,0.3812565176327042,1.0,0.16271311066747446,0.30179584107441443,0.2547392114401778,0.29041360870556,0.43866755069686036,0.16748047080394168,0.4074816535541703,0.3391885504948592,0.18589833867257413,0.27932107774225934,0.5090166629088989,0.24645485349659538,0.3548656113634323,0.31172974485463917,0.2962204666853326,0.2630259952057383,0.4014930276631762,0.3273011002071173,0.3616996242166115,0.40327155234769946,0.2516151198068828,0.43217016151232585,0.36002205650043123,0.2224785200177403,0.28367297956726145,0.3378058409985382,0.4640039001116136,0.1818450414976756,0.17808649374708435,0.368299907949756,0.2466680674625658,0.5915421645756098,0.24742638783141463
HCLTECH,0.1398297132052793,0.15518923309316204,0.28249168174860284,0.11345805734774587,0.10875814030503156,0.13122937124483927,0.2677171756153733,0.18080973801101877,0.22922090764219183,0.26437073790315985,0.14358667530300345,0.11854734865757638,0.05759439700131667,0.19068236714826406,0.23094551075843744,0.18200619868267595,0.16271311066747446,1.0,0.047305580649673815,0.12869768074123605,0.13724377261605458,0.25655247445117413,0.12297323880722012,0.11209300066378676,0.11818481839666524,0.6908413680418268,0.17886359371601496,0.25752975019385876,0.12329943816738219,0.22650419555787113,0.20406888733155595,0.2146757523488545,0.1024007822646265,0.16668320156806143,0.22169659658140414,0.12239054351920053,0.2773615448220158,0.20956998441658556,0.21566022969136894,0.2362376588426206,0.16281515133000346,0.2104995000458558,0.27147502372728866,0.26951409121482517,0.6297950531135846,0.5504355008405925,0.19968110297421143,0.21558392334142287,0.2092005904514773,0.5823449254607918
HDFCBANK,0.33808618801858487,0.37608478640136433,0.1118685971974934,0.2625079125794577,0.42527757449425135,0.18437496900883416,0.3188307448220598,0.3306798636025277,0.3320989786403947,0.21307622514790428,0.23586454610747165,0.07046858273863667,-0.03078795557222618,0.2704743668928814,0.1401187606458251,0.28776377104599554,0.30179584107441443,0.047305580649673815,1.0,0.22229129308657977,0.10975584039235281,0.26311956516029017,0.07934478269073768,0.4343706961271014,0.36484562508782903,0.11152196965472921,0.16759232662695836,0.37009791875759646,0.42334897982725644,0.3460998767670169,0.332445797173105,0.23853730345062626,0.08024147868567498,0.34010354417097755,0.28152404992043156,0.3153827940999499,0.314255075513383,0.21307423705649892,0.35856395166791766,0.33423353526710564,0.07463059005093414,0.10924553440756134,0.20600501152245582,0.38116853717206917,0.046521962935619006,0.2061555697758892,0.18826880100938648,0.10604848355962289,0.36129496819003665,0.19497363680822646
HDFCLIFE,0.2168839777789345,0.2475845637717398,0.14253322567572033,0.20492289479754985,0.25177384130862107,0.19283517175584788,0.3474529580164099,0.3065447741652261,0.2519907189399039,0.21584282133635527,0.17999575903372456,-0.00023998641403233606,0.08774534210994321,0.2119141371016612,0.12304809845885764,0.2368001867056483,0.2547392114401778,0.12869768074123605,0.22229129308657977,1.0,0.21839570621661772,0.202560075351503,0.13668812690431595,0.19900071355281646,0.1807132242298732,0.07398898480448639,0.1977027648149876,0.25855896772182985,0.20966348499905266,0.2584712293118129,0.2121828551737384,0.25017786591952584,0.12418902672811952,0.20741285616047286,0.206016648771054,0.11763822538394926,0.22201776240090743,0.5967457891012954,0.22034667295924215,0.3054603950646304,0.1695756832053225,0.21462541182087835,0.22472116633917208,0.2754766493489062,0.11611662300065473,0.12047769996319342,0.22678109912586902,0.20285601777576945,0.24249811733960072,0.19499625464045672
HEROMOTOCO,0.20831693706158083,0.2047718956652792,0.25146301766437545,0.17612667251837563,0.17359738533933325,0.4110517976324255,0.2362386315285722,0.1690395536525965,0.09356398986021068,0.19012748523395206,0.23287673581330107,0.18557447679250594,0.15086447801922293,0.2542312114624896,0.1425468825619292,0.27384028289895584,0.29041360870556,0.13724377261605458,0.10975584039235281,0.21839570621661772,1.0,0.23462422278702696,0.20563195957897862,0.1458454363998602,0.1995157564651256,0.10814956532524127,0.10987306489961585,0.21495095049394014,0.145713888453629,0.20227341876668892,0.36534240286405745,0.2945179881296891,0.24447368564001992,0.1524640425144026,0.19945128915527527,0.14264002598151762,0.24517716902450623,0.2034397376918809,0.13982762289028014,0.2604036458677768,0.22632623039656913,0.21328414069219373,0.2927330048939088,0.2885072895750443,0.11133743344088483,0.11542390251643195,0.3024347266083531,0.2261171697324457,0.29855071179271425,0.2078779896261848
HINDALCO,0.3048462687565705,0.33896571170604656,0.06508632362037137,0.20976486528236218,0.22802774169958434,0.2200769974467752,0.29634929156444995,0.253189520988113,0.37802186788823877,0.2970076553032309,0.3488915959179947,0.10474410999942187,0.09945551524103947,0.38931741720646934,0.2084530322041943,0.27851274631237355,0.43866755069686036,0.25655247445117413,0.26311956516029017,0.202560075351503,0.23462422278702696,1.0,0.07538421084823585,0.17907953456996598,0.2767439911987725,0.18043172590503093,0.1462545112062982,0.6101124676907443,0.20291473613735414,0.3316688082470459,0.29991559896126074,0.28662671628727043,0.1096820338294498,0.3601974494260397,0.410909408270617,0.378123883609426,0.3321961171207665,0.18004185949536033,0.34206673623818135,0.31878395072911786,0.2575097751686198,0.18171243854915986,0.36613672424910954,0.630273354347697,0.16261376315474022,0.23855246701114974,0.24967043998382413,0.2721166109014408,0.3154634424266172,0.26412061015213384
HINDUNILVR,-0.0007854370811538054,0.0024631983613530102,0.10781153030283737,0.26952150879066794,0.009887203477359604,0.12458958610893145,0.1394687996987161,0.12735253290052165,-0.05789617342981739,0.1579413136016775,-0.0013455567186905003,0.46823958294109097,0.04213051271242903,-0.037975643352650426,0.1633615807563005,0.11990517161160935,0.16748047080394168,0.12297323880722012,0.07934478269073768,0.13668812690431595,0.20563195957897862,0.07538421084823585,1.0,0.0011355495808160992,0.08168346401333183,0.1640546849704047,0.3250284344198306,0.14142697581736946,0.16671889682939633,0.025042470517712023,0.12983923426052604,0.14805614807889914,0.4640882344631966,-0.04730160978017539,-0.016642478576403535,-0.0773880928041238,0.09259968121400396,0.26111432341720536,-0.05975220265832286,0.033009660228962415,0.05130581124522345,0.41202663642705134,0.08804341960407476,0.08476302602156681,0.14531641929768332,0.13119852103919788,0.1874897088254101,0.08350710854074275,0.16496352352981022,0.18526499226508147
ICICIBANK,0.39404926293070747,0.44357600688635807,0.16746782750461298,0.15548581702699293,0.6366436593912757,0.11401985804332165,0.4151448298825265,0.3477746250173575,0.3173893848062511,0.37050692047419265,0.23049699414034366,0.04772014994026091,0.0841397883559671,0.250929745772216,0.03631502670813011,0.3541268737017314,0.4074816535541703,0.11209300066378676,0.4343706961271014,0.19900071355281646,0.1458454363998602,0.17907953456996598,0.0011355495808160992,1.0,0.35213022052938303,0.20326677927471834,0.3154777278692097,0.3819612509099977,0.4436872927007803,0.41955970924032093,0.3193191971436238,0.23219586810118983,0.09319761080948054,0.3609914536229166,0.27966080533412335,0.30151920641867924,0.3969653249156693,0.21467431263663975,0.5186705928944875,0.45173359539317987,0.2077608751479371,0.1216685383439754,0.20170015450098858,0.34586597977501954,0.16862236389207078,0.17199342359049005,0.14687821426610526,0.1289696041602469,0.4324107230380462,0.2244271294530091
